Year,Length,Title,Subject
1971,137,Boy Friend,
1990,100,Hard To Kill,Action
1960,109,Psycho,Horror
1957,112,Jet Pilot,Action
1987,95,Under Cover,Mystery
1951,122,A Streetcar Named Desire,Drama
1986,93,Golden Child,
1971,84,Statue,
1985,128,Christopher Columbus,Drama
1989,116,In Country,Drama
1978,132,Wild Geese,
1974,90,Second Coming of Suzanne.,
1980,116,Bronco Billy,Westerns
1977,109,Gauntlet,
1986,105,Ratboy,Drama
1938,96,Lady Vanishes,Mystery
1987,95,Kitchen Toto,
1959,88,Carlton-Browne of the F.O.,Comedy
1929,68,Racketeer,Drama
1941,95,Mr. & Mrs. Smith,Comedy
1986,132,Alrededor de Medianoche,Drama
1982,101,Losin' It,Comedy
1987,114,Into the Homeland,Action
1991,60,Boxing Babes,Action
1991,94,Shock 'em Dead,Horror
1960,101,Heller in Pink Tights,Drama
1961,100,Two Women,Drama
1954,107,Gold of Naples,
1963,118,Yesterday,
1957,109,Legend of the Lost,Action
1978,111,Brass Target,Action
1964,188,Fall of the Roman Empire,
1961,172,El Cid,Drama
1958,114,Desire under the Elms,Drama
1953,92,Two Nights with Cleo,Drama
1959,,Black Orchid,
1977,91,Angela,Drama
1977,105,A Special Day,Drama
1979,112,Blood Feud,Action
1991,145,Sophia Loren,
1990,,Running Away,Drama
1991,130,Man of La Mancha,Music
1992,116,Operation Crossbow,Action
1986,141,Courage,Drama
1986,94,RAD,Action
1992,98,Secret Admirer,Comedy
1979,85,Cocaine Cowboys,Action
1991,118,Test Pilot,Drama
1943,64,Ape Man,
1986,125,Mission,
1991,102,Curly Sue,Comedy
1962,150,Lolita,Drama
1989,101,Sex,
1990,107,Green Card,Comedy
1988,95,Gator Bait II,Action
1979,129,Being There,Comedy
1983,132,Terms of Endearment,Drama
1967,99,Woman Times Seven,Comedy
1968,,Bliss of Mrs. Blossom,
1990,101,Postcards from the Edge,Comedy
1970,105,Two Mules for Sister Sara,Western
1992,84,Dragonfight,Drama
1939,85,Back Door to Heaven,Drama
1988,100,Ciao Italia,
1991,118,Madonna,
1992,60,A Certain Sacrifice,Music
1991,40,National Enquirer,
1990,60,Immaculate Collection,
1987,50,Madonna Live,
1990,5,Madonna,
1991,16,Madonna,
1988,83,Hot to Trot,Comedy
1986,103,Fire with Fire,Drama
1990,120,Hot Spot,Drama
1974,124,Amarcord,Drama
1988,85,Casablanca Express,Action
1980,94,Out of the Blue,Drama
1949,110,Sands of Iwo Jima,War
1981,104,Hand,
1989,81,Deep Cover,Mystery
1955,92,Il Bidone,Drama
1986,130,El Guerrero Solitario,Drama
1986,130,Heartbreak Ridge,War
1977,110,Goodbye Girl,
1991,113,Audrey Rose,Drama
1981,86,Polyester,Comedy
1991,144,Robin Hood: Prince of Thieves,Action
1992,101,White Sands,Drama
1986,119,Color of Money,
1986,119,Children of a Lesser God,Drama
1986,,Matador,Comedy
1989,88,Women on the Verge of a Nervous Breakdown,Comedy
1980,86,Pepi Luci Bom,Comedy
1989,100,Forgotten,
1992,89,Flame & the Arrow,
1990,92,After the Shock,Drama
1990,110,Modern Love,Comedy
1992,95,Riff Raff,Comedy
1967,81,Glory Stompers,
1990,181,Dances with Wolves,Western
1987,130,Matewan,Drama
1988,120,Mississippi Burning,Drama
1975,130,Eiger Sanction,
1988,109,Unsettled Land,Drama
1991,98,Cat Chaser,Drama
1988,110,Accused,
1989,109,Winter People,Drama
1983,101,Reuben,
1987,102,Made in Heaven,Fantasy
1986,109,Top Gun,Action
1985,112,Witness,Drama
1988,111,House on Carroll Street,
1984,109,Racing with the Moon,Drama
1983,98,Lovesick,Comedy
1988,106,She's Having a Baby,Comedy
1965,199,Greatest Story Ever Told,
1989,105,Hawks,Drama
1981,91,So Fine,Comedy
1957,89,Paths of Glory,Drama
1964,120,Tom Jones,Drama
1975,103,Sunshine Boys,
1988,98,Caddyshack 2,Comedy
1990,117,Internal Affairs,Drama
1991,206,JFK,Drama
1991,97,New Jack City,Action
1991,87,Scenes from a Mall,Comedy
1987,118,Hope & Glory,War
1970,194,Ryan's Daughter,Drama
1973,127,Man Who Loved Cat Dancing,
1962,123,Man Who Shot Liberty Valance,
1989,102,Dead-Bang,Action
1988,90,Big Top Pee-wee,Comedy
1960,103,Time Machine,
1972,128,Cabaret,Drama
1981,97,Arthur,Comedy
1976,97,A Matter of Time,Drama
1977,137,New York,
1989,89,Nightmare on Elm Street,
1980,100,Fiendish Plot of Dr. Fu Manchu,
1991,240,Four American Composers,Music
1950,112,Asphalt Jungle,
1992,61,Ladies of the Chorus,Music
1953,95,How to Marry a Millionaire,Comedy
1983,,Hollywood Out-Takes & Rare Footage,Comedy
1991,94,Nothing But Trouble,Comedy
1987,109,Wisdom,Action
1986,94,One Crazy Summer,Comedy
1989,110,We're No Angels,Comedy
1984,102,No Small Affair,Comedy
1990,127,Ghost,Science Fiction
